,Goal_no,Season,Competition,Matchday,Venue,Team,Opponent,Result,Position,Minute,At_score,Type_of_goal
0,1,2/3,Liga Portugal,6,H,Sporting CP,Moreirense FC,3:0,LW,34,2:0,Solo run
1,2,2/3,Liga Portugal,6,H,Sporting CP,Moreirense FC,3:0,,90+5,3:0,Header
2,3,2/3,Liga Portugal,8,A,Sporting CP,Boavista FC,1:2,,88,1:2,Right-footed shot
3,4,2/3,TaÃ§a de Portugal Placard,Fourth Round,H,Sporting CP,CD Estarreja,4:1,,67,3:0,Left-footed shot
4,5,2/3,TaÃ§a de Portugal Placard,Fifth Round,H,Sporting CP,FC Oliveira do Hospital,8:1,,13,3:0,
5,6,3/4,Premier League,11,H,Manchester United,Portsmouth FC,3:0,RW,80,2:0,Direct free kick
6,7,3/4,FA Cup,Fifth Round,H,Manchester United,Manchester City,4:2,RW,74,3:0,Right-footed shot
7,8,3/4,Premier League,29,H,Manchester United,Tottenham Hotspur,3:0,,89,2:0,Right-footed shot
8,9,3/4,Premier League,32,A,Manchester United,Birmingham City,1:2,,60,1:1,Header
9,10,3/4,Premier League,38,A,Manchester United,Aston Villa,0:2,,4,0:1,Right-footed shot
10,11,3/4,FA Cup,Final,H,Manchester United,Millwall FC,3:0,RW,44,1:0,Header
11,12,4/5,Premier League,16,H,Manchester United,Southampton FC,3:0,,87,3:0,Right-footed shot
12,13,4/5,FA Cup,Third Round,A,Manchester United,Exeter City,0:2,,9,0:1,
13,14,4/5,Premier League,24,H,Manchester United,Aston Villa,3:1,,8,1:0,Right-footed shot
14,15,4/5,Premier League,25,A,Manchester United,Arsenal FC,2:4,RW,54,2:2,Left-footed shot
15,16,4/5,Premier League,25,A,Manchester United,Arsenal FC,2:4,RW,58,2:3,Tap-in
16,17,4/5,FA Cup,Fifth Round,A,Manchester United,Everton FC,0:2,,58,0:2,Tap-in
17,18,4/5,FA Cup,Sixth Round,A,Manchester United,Southampton FC,0:4,,45+1,0:2,Left-footed shot
18,19,4/5,Premier League,30,H,Manchester United,Fulham FC,1:0,,21,1:0,Right-footed shot
19,20,4/5,FA Cup,Semi-Finals,A,Manchester United,Newcastle United,1:4,RW,76,1:4,Right-footed shot
20,21,5/6,UEFA Champions League Qualifying,3rd round,H,Manchester United,Debreceni VSC,3:0,,63,3:0,Right-footed shot
21,22,5/6,Premier League,11,A,Manchester United,Middlesbrough FC,4:1,,90,4:1,Header
22,23,5/6,EFL Cup,Round of 16,H,Manchester United,West Bromwich Albion,3:1,RW,12,1:1,Penalty
23,24,5/6,Premier League,20,H,Manchester United,Bolton Wanderers,4:1,,68,3:1,Right-footed shot
24,25,5/6,Premier League,20,H,Manchester United,Bolton Wanderers,4:1,,90,4:1,Left-footed shot
25,26,5/6,Premier League,25,H,Manchester United,Fulham FC,4:2,,14,2:0,Direct free kick
26,27,5/6,Premier League,25,H,Manchester United,Fulham FC,4:2,,87,4:2,Right-footed shot
27,28,5/6,Premier League,26,A,Manchester United,Portsmouth FC,1:3,RW,38,0:2,Left-footed shot
28,29,5/6,Premier League,26,A,Manchester United,Portsmouth FC,1:3,RW,45,0:3,Right-footed shot
29,30,5/6,EFL Cup,Final,H,Manchester United,Wigan Athletic,4:0,RW,59,3:0,
30,31,5/6,Premier League,28,A,Manchester United,Wigan Athletic,1:2,,74,1:1,Right-footed shot
31,32,5/6,Premier League,38,H,Manchester United,Charlton Athletic,4:0,RW,23,2:0,Left-footed shot
32,33,6/7,Premier League,1,H,Manchester United,Fulham FC,5:1,,19,4:0,
33,34,6/7,Premier League,6,A,Manchester United,Reading FC,1:1,CF,73,1:1,
34,35,6/7,Premier League,10,A,Manchester United,Bolton Wanderers,0:4,,82,0:3,
35,36,6/7,Premier League,11,H,Manchester United,Portsmouth FC,3:0,RW,10,2:0,Direct free kick
36,37,6/7,Premier League,15,H,Manchester United,Everton FC,3:0,,39,1:0,
37,38,6/7,Premier League,17,H,Manchester United,Manchester City,3:1,,84,3:1,
38,39,6/7,Premier League,19,A,Manchester United,Aston Villa,0:3,,58,0:1,
39,40,6/7,Premier League,19,A,Manchester United,Aston Villa,0:3,,85,0:3,
40,41,6/7,Premier League,20,H,Manchester United,Wigan Athletic,3:1,,47,1:0,
41,42,6/7,Premier League,21,H,Manchester United,Wigan Athletic,4:1,,50,2:0,Penalty rebound
42,43,6/7,Premier League,21,H,Manchester United,Reading FC,3:2,RW,58,2:1,
43,44,6/7,Premier League,21,H,Manchester United,Reading FC,3:2,RW,77,3:1,
44,45,6/7,Premier League,23,H,Manchester United,Aston Villa,3:1,,34,3:0,Header
45,46,6/7,Premier League,25,H,Manchester United,Watford FC,4:0,RW,12,1:0,Penalty
46,47,6/7,Premier League,26,A,Manchester United,Tottenham Hotspur,0:4,RW,45,0:1,Penalty
47,48,6/7,Premier League,28,A,Manchester United,Fulham FC,1:2,,88,1:2,Solo run
48,49,6/7,FA Cup,Sixth Round,A,Manchester United,Middlesbrough FC,2:2,RW,68,2:2,Penalty
49,50,6/7,FA Cup,6th round,H,Manchester United,Middlesbrough FC,1:0,,76,1:0,Penalty
50,51,6/7,UEFA Champions League,Quarter-Finals,H,Manchester United,AS Roma,7:1,RW,44,4:0,Right-footed shot
51,52,6/7,UEFA Champions League,Quarter-Finals,H,Manchester United,AS Roma,8:1,RW,49,5:0,Right-footed shot
52,53,6/7,FA Cup,Semi-Finals,A,Manchester United,Watford FC,1:4,,28,1:2,Right-footed shot
53,54,6/7,UEFA Champions League,Semi-Finals,H,Manchester United,AC Milan,3:2,RW,5,1:0,Header
54,55,6/7,Premier League,37,A,Manchester United,Manchester City,0:1,RW,34,0:1,Penalty
55,56,7/8,UEFA Champions League,Group Stage,A,Manchester United,Sporting CP,0:1,RW,62,0:1,Header
56,57,7/8,Premier League,8,A,Manchester United,Birmingham City,0:1,RW,51,0:1,
57,58,7/8,Premier League,9,H,Manchester United,Wigan Athletic,4:0,RW,59,2:0,Header
58,59,7/8,Premier League,9,H,Manchester United,Wigan Athletic,4:0,RW,76,3:0,Right-footed shot
59,60,7/8,UEFA Champions League,Group Stage,A,Manchester United,Dynamo Kyiv,2:4,RW,41,1:3,Penalty
60,61,7/8,UEFA Champions League,Group Stage,A,Manchester United,Dynamo Kyiv,2:4,RW,68,1:4,Header
61,62,7/8,Premier League,12,A,Manchester United,Arsenal FC,2:2,RW,82,1:2,
62,63,7/8,UEFA Champions League,Group Stage,H,Manchester United,Dynamo Kyiv,4:0,RW,88,4:0,Right-footed shot
63,64,7/8,Premier League,13,H,Manchester United,Blackburn Rovers,2:0,RW,34,1:0,Header
64,65,7/8,Premier League,13,H,Manchester United,Blackburn Rovers,2:0,RW,35,2:0,Right-footed shot
65,66,7/8,UEFA Champions League,Group Stage,H,Manchester United,Sporting CP,2:1,RW,90+3,2:1,Direct free kick
66,67,7/8,Premier League,15,H,Manchester United,Fulham FC,2:0,,10,1:0,Right-footed shot
67,68,7/8,Premier League,15,H,Manchester United,Fulham FC,2:0,,58,2:0,Header
68,69,7/8,Premier League,16,H,Manchester United,Derby County,4:1,,90,4:1,Penalty
69,70,7/8,Premier League,18,H,Manchester United,Everton FC,2:1,RW,22,1:0,Left-footed shot
70,71,7/8,Premier League,18,H,Manchester United,Everton FC,2:1,RW,87,2:1,Penalty
71,72,7/8,Premier League,19,A,Manchester United,Sunderland AFC,0:4,,45,0:3,Direct free kick
72,73,7/8,Premier League,20,A,Manchester United,West Ham United,2:1,RW,14,0:1,Header
73,74,7/8,FA Cup,Third Round,A,Manchester United,Aston Villa,0:2,,81,0:1,Left-footed shot
74,75,7/8,Premier League,22,H,Manchester United,Newcastle United,6:0,RW,48,1:0,Direct free kick
75,76,7/8,Premier League,22,H,Manchester United,Newcastle United,6:0,RW,70,3:0,Right-footed shot
76,77,7/8,Premier League,22,H,Manchester United,Newcastle United,6:0,RW,88,5:0,Left-footed shot
77,78,7/8,Premier League,23,A,Manchester United,Reading FC,0:2,RW,90+2,0:2,Right-footed shot
78,79,7/8,FA Cup,Fourth Round,H,Manchester United,Tottenham Hotspur,3:1,RW,69,2:1,Penalty
79,80,7/8,FA Cup,Fourth Round,H,Manchester United,Tottenham Hotspur,3:1,RW,88,3:1,Right-footed shot
80,81,7/8,Premier League,24,H,Manchester United,Portsmouth FC,2:0,RW,10,1:0,Right-footed shot
81,82,7/8,Premier League,24,H,Manchester United,Portsmouth FC,2:0,RW,12,2:0,Direct free kick
82,83,7/8,Premier League,27,A,Manchester United,Newcastle United,1:5,RW,45,0:2,Right-footed shot
83,84,7/8,Premier League,27,A,Manchester United,Newcastle United,1:5,RW,56,0:3,Right-footed shot
84,85,7/8,UEFA Champions League,last 16,H,Manchester United,Olympique Lyon,1:0,RW,41,1:0,Left-footed shot
85,86,7/8,Premier League,29,A,Manchester United,Derby County,0:1,,76,0:1,Right-footed shot
86,87,7/8,Premier League,30,H,Manchester United,Bolton Wanderers,2:0,,8,1:0,Right-footed shot
87,88,7/8,Premier League,30,H,Manchester United,Bolton Wanderers,2:0,,19,2:0,Direct free kick
88,89,7/8,Premier League,31,H,Manchester United,Liverpool FC,3:0,RW,79,2:0,Header
89,90,7/8,Premier League,32,H,Manchester United,Aston Villa,4:0,RW,16,1:0,Right-footed shot
90,91,7/8,UEFA Champions League,Quarter-Finals,A,Manchester United,AS Roma,0:2,RW,39,0:1,Header
91,92,7/8,Premier League,33,A,Manchester United,Middlesbrough FC,2:2,RW,9,0:1,Left-footed shot
92,93,7/8,Premier League,34,H,Manchester United,Arsenal FC,2:1,RW,53,1:1,Penalty
93,94,7/8,Premier League,37,H,Manchester United,West Ham United,4:1,RW,3,1:0,Right-footed shot
94,95,7/8,Premier League,37,H,Manchester United,West Ham United,4:1,RW,24,2:0,Right-footed shot
95,96,7/8,Premier League,38,A,Manchester United,Wigan Athletic,0:2,RW,32,0:1,Penalty
96,97,7/8,UEFA Champions League,Final,H,Manchester United,Chelsea FC,6:5 on pens,LW,26,1:0,Header
97,98,8/9,EFL Cup,Third Round,H,Manchester United,Middlesbrough FC,3:1,,25,1:0,Header
98,99,8/9,Premier League,6,H,Manchester United,Bolton Wanderers,2:0,RW,59,1:0,Penalty
99,100,8/9,Premier League,8,H,Manchester United,West Bromwich Albion,4:0,RW,69,2:0,Left-footed shot
100,101,8/9,Premier League,10,H,Manchester United,West Ham United,2:0,RW,14,1:0,Left-footed shot
101,102,8/9,Premier League,10,H,Manchester United,West Ham United,2:0,RW,30,2:0,Right-footed shot
102,103,8/9,Premier League,11,H,Manchester United,Hull City,4:3,RW,3,1:0,Left-footed shot
103,104,8/9,Premier League,11,H,Manchester United,Hull City,4:3,RW,43,3:1,Header
104,105,8/9,Premier League,13,H,Manchester United,Stoke City,5:0,RW,3,1:0,Direct free kick
105,106,8/9,Premier League,13,H,Manchester United,Stoke City,5:0,RW,88,5:0,Direct free kick
106,107,8/9,FIFA Club World Cup,Semi-Finals,A,Manchester United,Gamba Osaka,3:5,LW,45+1,0:2,Header
107,108,8/9,EFL Cup,Semi-Finals,H,Manchester United,Derby County,4:2,,89,4:1,Penalty
108,109,8/9,Premier League,23,A,Manchester United,West Bromwich Albion,0:5,LW,65,0:4,Right-footed shot
109,110,8/9,Premier League,23,A,Manchester United,West Bromwich Albion,0:5,LW,73,0:5,Right-footed shot
110,111,8/9,Premier League,24,H,Manchester United,Everton FC,1:0,LW,43,1:0,Penalty
111,112,8/9,FA Cup,Fifth Round,A,Manchester United,Derby County,1:4,CF,68,1:3,Header
112,113,8/9,Premier League,26,H,Manchester United,Blackburn Rovers,2:1,,60,2:1,Direct free kick
113,114,8/9,UEFA Champions League,last 16,H,Manchester United,FC Internazionale,2:0,RW,49,2:0,Header
114,115,8/9,Premier League,29,H,Manchester United,Liverpool FC,1:4,RW,22,1:0,Penalty
115,116,8/9,Premier League,31,H,Manchester United,Aston Villa,3:2,RW,11,1:0,Direct free kick
116,117,8/9,Premier League,31,H,Manchester United,Aston Villa,3:2,RW,80,2:2,Left-footed shot
117,118,8/9,UEFA Champions League,Quarter-Finals,A,Manchester United,FC Porto,0:1,RW,6,0:1,Long distance kick
118,119,8/9,Premier League,34,H,Manchester United,Tottenham Hotspur,5:2,RW,57,1:2,Penalty
119,120,8/9,Premier League,34,H,Manchester United,Tottenham Hotspur,5:2,RW,68,3:2,Header
120,121,8/9,UEFA Champions League,Semi-Finals,A,Manchester United,Arsenal FC,1:3,CF,11,0:2,Direct free kick
121,122,8/9,UEFA Champions League,Semi-Finals,A,Manchester United,Arsenal FC,1:3,CF,61,0:3,Right-footed shot
122,123,8/9,Premier League,36,H,Manchester United,Manchester City,2:0,RW,17,1:0,Direct free kick
123,124,9/10,LaLiga,1,H,Real Madrid,Deportivo de La CoruÃ±a,3:2,RW,35,2:1,Penalty
124,125,9/10,LaLiga,2,A,Real Madrid,RCD Espanyol Barcelona,0:3,,90,0:3,Right-footed shot
125,126,9/10,UEFA Champions League,Group Stage,A,Real Madrid,FC ZÃ¼rich,2:5,CF,27,0:1,Direct free kick
126,127,9/10,UEFA Champions League,Group Stage,A,Real Madrid,FC ZÃ¼rich,2:5,CF,89,2:4,Direct free kick
127,128,9/10,LaLiga,3,H,Real Madrid,Xerez CD,5:0,RW,1,1:0,Right-footed shot
128,129,9/10,LaLiga,3,H,Real Madrid,Xerez CD,5:0,RW,75,2:0,Header
129,130,9/10,LaLiga,4,A,Real Madrid,Villarreal CF,0:2,CF,2,0:1,Right-footed shot
130,131,9/10,UEFA Champions League,Group Stage,H,Real Madrid,Olympique Marseille,3:0,CF,58,1:0,Left-footed shot
131,132,9/10,UEFA Champions League,Group Stage,H,Real Madrid,Olympique Marseille,3:0,CF,64,3:0,Right-footed shot
132,133,9/10,LaLiga,13,H,Real Madrid,UD AlmerÃ­a,4:2,CF,84,4:2,Right-footed shot
133,134,9/10,UEFA Champions League,Group Stage,A,Real Madrid,Olympique Marseille,1:3,CF,5,0:1,Direct free kick
134,135,9/10,UEFA Champions League,Group Stage,A,Real Madrid,Olympique Marseille,1:3,CF,80,1:3,Right-footed shot
135,136,9/10,LaLiga,15,H,Real Madrid,Real Zaragoza,6:0,CF,50,5:0,Left-footed shot
136,137,9/10,LaLiga,19,H,Real Madrid,Malaga CF,2:0,RW,35,1:0,Right-footed shot
137,138,9/10,LaLiga,19,H,Real Madrid,Malaga CF,2:0,RW,39,2:0,Right-footed shot
138,139,9/10,LaLiga,22,A,Real Madrid,Xerez CD,0:3,,69,0:2,Header
139,140,9/10,LaLiga,22,A,Real Madrid,Xerez CD,0:3,,71,0:3,Left-footed shot
140,141,9/10,LaLiga,23,H,Real Madrid,Villarreal CF,6:2,,18,1:0,Direct free kick
141,142,9/10,LaLiga,24,A,Real Madrid,CD Tenerife,1:5,,78,1:4,Penalty
142,143,9/10,LaLiga,25,H,Real Madrid,Sevilla FC,3:2,CF,59,1:2,Left-footed shot
143,144,9/10,UEFA Champions League,last 16,H,Real Madrid,Olympique Lyon,1:1,LW,6,1:0,Left-footed shot
144,145,9/10,LaLiga,26,A,Real Madrid,Real Valladolid CF,1:4,CF,29,0:1,Direct free kick
145,146,9/10,LaLiga,28,A,Real Madrid,Getafe CF,2:4,,13,0:1,Direct free kick
146,147,9/10,LaLiga,28,A,Real Madrid,Getafe CF,2:4,,36,0:4,Right-footed shot
147,148,9/10,LaLiga,30,A,Real Madrid,Racing Santander,0:2,,23,0:1,Penalty
148,149,9/10,LaLiga,32,A,Real Madrid,UD AlmerÃ­a,1:2,,26,1:1,Left-footed shot
149,150,9/10,LaLiga,33,H,Real Madrid,Valencia CF,2:0,CF,77,2:0,Right-footed shot
150,151,9/10,LaLiga,35,H,Real Madrid,CA Osasuna,3:2,,25,1:1,Right-footed shot
151,152,9/10,LaLiga,35,H,Real Madrid,CA Osasuna,3:2,,89,3:2,Header
152,153,9/10,LaLiga,36,A,Real Madrid,RCD Mallorca,1:4,,26,1:1,Right-footed shot
153,154,9/10,LaLiga,36,A,Real Madrid,RCD Mallorca,1:4,,56,1:2,Right-footed shot
154,155,9/10,LaLiga,36,A,Real Madrid,RCD Mallorca,1:4,,71,1:3,Right-footed shot
155,156,9/10,LaLiga,37,H,Real Madrid,Athletic Bilbao,5:1,CF,21,1:0,Penalty
156,157,10/11,LaLiga,4,H,Real Madrid,RCD Espanyol Barcelona,3:0,LW,28,1:0,Penalty
157,158,10/11,LaLiga,6,H,Real Madrid,Deportivo de La CoruÃ±a,6:1,LW,4,1:0,Header
158,159,10/11,LaLiga,6,H,Real Madrid,Deportivo de La CoruÃ±a,6:1,LW,89,6:1,Left-footed shot
159,160,10/11,LaLiga,7,A,Real Madrid,Malaga CF,1:4,LW,45,0:2,Right-footed shot
160,161,10/11,LaLiga,7,A,Real Madrid,Malaga CF,1:4,LW,50,0:3,Penalty
161,162,10/11,UEFA Champions League,Group Stage,H,Real Madrid,AC Milan,2:0,LW,13,1:0,Direct free kick
162,163,10/11,LaLiga,8,H,Real Madrid,Racing Santander,6:1,LW,15,2:0,Right-footed shot
163,164,10/11,LaLiga,8,H,Real Madrid,Racing Santander,6:1,LW,26,3:0,Left-footed shot
164,165,10/11,LaLiga,8,H,Real Madrid,Racing Santander,6:1,LW,47,4:0,Right-footed shot
165,166,10/11,LaLiga,8,H,Real Madrid,Racing Santander,6:1,LW,55,5:0,Penalty
166,167,10/11,LaLiga,9,A,Real Madrid,Harcules CF,1:3,LW,82,1:2,Right-footed shot
167,168,10/11,LaLiga,9,A,Real Madrid,Harcules CF,1:3,LW,86,1:3,Right-footed shot
168,169,10/11,Copa del Rey,4th round,H,Real Madrid,Real Murcia CF,5:1,,76,3:0,Left-footed shot
169,170,10/11,LaLiga,12,H,Real Madrid,Athletic Bilbao,5:1,LW,30,2:0,Left-footed shot
170,171,10/11,LaLiga,12,H,Real Madrid,Athletic Bilbao,5:1,LW,62,4:1,Direct free kick
171,172,10/11,LaLiga,12,H,Real Madrid,Athletic Bilbao,5:1,LW,90+1,5:1,Penalty
172,173,10/11,UEFA Champions League,Group Stage,A,Real Madrid,Ajax Amsterdam,0:4,LW,70,0:3,Left-footed shot
173,174,10/11,UEFA Champions League,Group Stage,A,Real Madrid,Ajax Amsterdam,0:4,LW,81,0:4,Penalty
174,175,10/11,LaLiga,14,H,Real Madrid,Valencia CF,2:0,LW,72,1:0,Left-footed shot
175,176,10/11,LaLiga,14,H,Real Madrid,Valencia CF,2:0,LW,86,2:0,Right-footed shot
176,177,10/11,UEFA Champions League,Group Stage,H,Real Madrid,AJ Auxerre,4:0,LW,49,2:0,Right-footed shot
177,178,10/11,LaLiga,15,A,Real Madrid,Real Zaragoza,1:3,LW,43,0:2,Direct free kick
178,179,10/11,Copa del Rey,last 16,H,Real Madrid,Levante UD,8:0,LW,44,4:0,Right-footed shot
179,180,10/11,Copa del Rey,last 16,H,Real Madrid,Levante UD,8:0,LW,71,6:0,Right-footed shot
180,181,10/11,Copa del Rey,last 16,H,Real Madrid,Levante UD,8:0,LW,73,7:0,Right-footed shot
181,182,10/11,LaLiga,17,A,Real Madrid,Getafe CF,2:3,LW,11,0:1,Penalty
182,183,10/11,LaLiga,17,A,Real Madrid,Getafe CF,2:3,LW,57,1:3,Right-footed shot
183,184,10/11,LaLiga,18,H,Real Madrid,Villarreal CF,4:2,LW,10,1:1,Right-footed shot
184,185,10/11,LaLiga,18,H,Real Madrid,Villarreal CF,4:2,LW,45,2:2,Header
185,186,10/11,LaLiga,18,H,Real Madrid,Villarreal CF,4:2,LW,79,3:2,Left-footed shot
186,187,10/11,Copa del Rey,Quarter-Finals,H,Real Madrid,Atlatico de Madrid,3:1,LW,60,2:1,Right-footed shot
187,188,10/11,Copa del Rey,Quarter-Finals,A,Real Madrid,Atlatico de Madrid,0:1,CF,22,0:1,Right-footed shot
188,189,10/11,LaLiga,22,H,Real Madrid,Real Sociedad,4:1,LW,20,2:0,Left-footed shot
189,190,10/11,LaLiga,22,H,Real Madrid,Real Sociedad,4:1,LW,42,3:0,Header
190,191,10/11,LaLiga,26,H,Real Madrid,Malaga CF,7:0,LW,50,4:0,Left-footed shot
191,192,10/11,LaLiga,26,H,Real Madrid,Malaga CF,7:0,LW,67,6:0,Penalty
192,193,10/11,LaLiga,26,H,Real Madrid,Malaga CF,7:0,LW,76,7:0,Right-footed shot
193,194,10/11,UEFA Champions League,Quarter-Finals,H,Real Madrid,Tottenham Hotspur,4:0,LW,87,4:0,Right-footed shot
194,195,10/11,LaLiga,31,A,Real Madrid,Athletic Bilbao,0:3,CF,70,0:3,Right-footed shot
195,196,10/11,UEFA Champions League,Quarter-Finals,A,Real Madrid,Tottenham Hotspur,0:1,RW,50,0:1,Right-footed shot
196,197,10/11,LaLiga,32,H,Real Madrid,FC Barcelona,1:1,LW,82,1:1,Penalty
197,198,10/11,Copa del Rey,Final,A,Real Madrid,FC Barcelona,0:1 AET,CF,13,0:1,Header
198,199,10/11,LaLiga,35,A,Real Madrid,Sevilla FC,2:6,LW,30,0:2,Right-footed shot
199,200,10/11,LaLiga,35,A,Real Madrid,Sevilla FC,2:6,LW,64,1:4,Right-footed shot
200,201,10/11,LaLiga,35,A,Real Madrid,Sevilla FC,2:6,LW,70,1:5,Right-footed shot
201,202,10/11,LaLiga,35,A,Real Madrid,Sevilla FC,2:6,LW,76,1:6,Right-footed shot
202,203,10/11,LaLiga,36,H,Real Madrid,Getafe CF,4:0,LW,23,1:0,Header
203,204,10/11,LaLiga,36,H,Real Madrid,Getafe CF,4:0,LW,57,2:0,Left-footed shot
204,205,10/11,LaLiga,36,H,Real Madrid,Getafe CF,4:0,LW,90+1,4:0,Penalty
205,206,10/11,LaLiga,37,A,Real Madrid,Villarreal CF,1:3,CF,22,0:2,Direct free kick
206,207,10/11,LaLiga,37,A,Real Madrid,Villarreal CF,1:3,CF,90,1:3,Direct free kick
207,208,10/11,LaLiga,38,H,Real Madrid,UD AlmerÃ­a,8:1,LW,4,1:0,Right-footed shot
208,209,10/11,LaLiga,38,H,Real Madrid,UD AlmerÃ­a,8:1,LW,76,7:1,Right-footed shot
209,210,11/12,Supercopa,final,A,Real Madrid,FC Barcelona,3:2,LW,20,1:1,Right-footed shot
210,211,11/12,LaLiga,2,A,Real Madrid,Real Zaragoza,0:6,LW,23,0:1,Left-footed shot
211,212,11/12,LaLiga,2,A,Real Madrid,Real Zaragoza,0:6,LW,70,0:4,Right-footed shot
212,213,11/12,LaLiga,2,A,Real Madrid,Real Zaragoza,0:6,LW,86,0:6,Right-footed shot
213,214,11/12,LaLiga,3,H,Real Madrid,Getafe CF,4:2,LW,59,2:1,Penalty
214,215,11/12,LaLiga,6,H,Real Madrid,Rayo Vallecano,6:2,LW,39,1:1,Left-footed shot
215,216,11/12,LaLiga,6,H,Real Madrid,Rayo Vallecano,6:2,LW,51,3:1,Penalty
216,217,11/12,LaLiga,6,H,Real Madrid,Rayo Vallecano,6:2,LW,84,6:2,Penalty
217,218,11/12,UEFA Champions League,Group Stage,H,Real Madrid,Ajax Amsterdam,3:0,LW,25,1:0,Right-footed shot
218,219,11/12,LaLiga,9,A,Real Madrid,Malaga CF,0:4,LW,24,0:2,Left-footed shot
219,220,11/12,LaLiga,9,A,Real Madrid,Malaga CF,0:4,LW,28,0:3,Right-footed shot
220,221,11/12,LaLiga,9,A,Real Madrid,Malaga CF,0:4,LW,38,0:4,Right-footed shot
221,222,11/12,UEFA Champions League,Group Stage,A,Real Madrid,Olympique Lyon,0:2,LW,25,0:1,Direct free kick
222,223,11/12,UEFA Champions League,Group Stage,A,Real Madrid,Olympique Lyon,0:2,LW,69,0:2,Penalty
223,224,11/12,LaLiga,12,H,Real Madrid,CA Osasuna,7:1,LW,23,1:0,Header
224,225,11/12,LaLiga,12,H,Real Madrid,CA Osasuna,7:1,LW,55,4:1,Penalty
225,226,11/12,LaLiga,12,H,Real Madrid,CA Osasuna,7:1,LW,58,5:1,Header
226,227,11/12,LaLiga,13,A,Real Madrid,Valencia CF,2:3,LW,79,1:3,Right-footed shot
227,228,11/12,LaLiga,14,H,Real Madrid,Atlatico de Madrid,4:1,LW,24,1:1,Penalty
228,229,11/12,LaLiga,14,H,Real Madrid,Atlatico de Madrid,4:1,LW,82,4:1,Penalty
229,230,11/12,LaLiga,15,A,Real Madrid,Sporting Gijan,0:3,LW,65,0:2,Right-footed shot
230,231,11/12,Copa del Rey,4th round,A,Real Madrid,SD Ponferradina,0:2,LW,74,0:2,Left-footed shot
