,Goal_no,Season,Competition,Matchday,Venue,Team,Opponent,Result,Position,Minute,At_score,Type_of_goal
231,232,11/12,LaLiga,17,A,Real Madrid,Sevilla FC,2:6,LW,10,0:1,Right-footed shot
232,233,11/12,LaLiga,17,A,Real Madrid,Sevilla FC,2:6,LW,41,0:3,Right-footed shot
233,234,11/12,LaLiga,17,A,Real Madrid,Sevilla FC,2:6,LW,86,1:5,Penalty
234,235,11/12,LaLiga,18,H,Real Madrid,Granada CF,5:1,LW,89,5:1,Right-footed shot
235,236,11/12,Copa del Rey,Quarter-Finals,H,Real Madrid,FC Barcelona,1:2,LW,11,1:0,Left-footed shot
236,237,11/12,LaLiga,1,H,Real Madrid,Athletic Bilbao,4:1,LW,46,2:1,Penalty
237,238,11/12,LaLiga,1,H,Real Madrid,Athletic Bilbao,4:1,LW,67,3:1,Penalty
238,239,11/12,Copa del Rey,Quarter-Finals,A,Real Madrid,FC Barcelona,2:2,LW,68,2:1,Right-footed shot
239,240,11/12,LaLiga,21,H,Real Madrid,Real Zaragoza,3:1,LW,48,2:1,Right-footed shot
240,241,11/12,LaLiga,23,H,Real Madrid,Levante UD,4:2,LW,45,1:1,Penalty
241,242,11/12,LaLiga,23,H,Real Madrid,Levante UD,4:2,LW,50,2:1,Header
242,243,11/12,LaLiga,23,H,Real Madrid,Levante UD,4:2,LW,57,3:1,Right-footed shot
243,244,11/12,LaLiga,24,H,Real Madrid,Racing Santander,4:0,LW,6,1:0,Header
244,245,11/12,UEFA Champions League,last 16,A,Real Madrid,CSKA Moscow,1:1,LW,28,0:1,Left-footed shot
245,246,11/12,LaLiga,25,A,Real Madrid,Rayo Vallecano,0:1,LW,53,0:1,Right-footed shot
246,247,11/12,LaLiga,26,H,Real Madrid,RCD Espanyol Barcelona,5:0,LW,23,1:0,Left-footed shot
247,248,11/12,LaLiga,27,A,Real Madrid,Real Betis Balompia,2:3,LW,52,1:2,Left-footed shot
248,249,11/12,LaLiga,27,A,Real Madrid,Real Betis Balompia,2:3,LW,73,2:3,Left-footed shot
249,250,11/12,UEFA Champions League,last 16,H,Real Madrid,CSKA Moscow,4:1,LW,55,2:0,Right-footed shot
250,251,11/12,UEFA Champions League,last 16,H,Real Madrid,CSKA Moscow,4:1,LW,90+4,4:1,Right-footed shot
251,252,11/12,LaLiga,29,A,Real Madrid,Villarreal CF,1:1,LW,61,0:1,Right-footed shot
252,253,11/12,LaLiga,30,H,Real Madrid,Real Sociedad,5:1,LW,32,2:0,Right-footed shot
253,254,11/12,LaLiga,30,H,Real Madrid,Real Sociedad,5:1,LW,55,5:1,Right-footed shot
254,255,11/12,LaLiga,31,A,Real Madrid,CA Osasuna,1:5,LW,37,0:2,Long distance kick
255,256,11/12,LaLiga,31,A,Real Madrid,CA Osasuna,1:5,LW,70,1:4,Direct free kick
256,257,11/12,UEFA Champions League,Quarter-Finals,H,Real Madrid,APOEL Nicosia,5:2,LW,26,1:0,Right-footed shot
257,258,11/12,UEFA Champions League,Quarter-Finals,H,Real Madrid,APOEL Nicosia,5:2,LW,75,3:1,Direct free kick
258,259,11/12,LaLiga,33,A,Real Madrid,Atlatico de Madrid,1:4,LW,24,0:1,Direct free kick
259,260,11/12,LaLiga,33,A,Real Madrid,Atlatico de Madrid,1:4,LW,67,1:2,Long distance kick
260,261,11/12,LaLiga,33,A,Real Madrid,Atlatico de Madrid,1:4,LW,82,1:3,Penalty
261,262,11/12,LaLiga,34,H,Real Madrid,Sporting Gijan,3:1,LW,74,2:1,Header
262,263,11/12,LaLiga,35,A,Real Madrid,FC Barcelona,1:2,LW,73,1:2,Right-footed shot
263,264,11/12,UEFA Champions League,Semi-Finals,H,Real Madrid,Bayern Munich,3:4 on pens,LW,6,1:0,Penalty
264,265,11/12,UEFA Champions League,Semi-Finals,H,Real Madrid,Bayern Munich,3:4 on pens,LW,14,2:0,Right-footed shot
265,266,11/12,LaLiga,36,H,Real Madrid,Sevilla FC,3:0,LW,19,1:0,Right-footed shot
266,267,11/12,LaLiga,20,A,Real Madrid,Athletic Bilbao,0:3,LW,49,0:3,Header
267,268,11/12,LaLiga,37,A,Real Madrid,Granada CF,1:2,LW,81,1:1,Penalty
268,269,11/12,LaLiga,38,H,Real Madrid,RCD Mallorca,4:1,LW,18,1:0,Header
269,270,12/13,Supercopa,final,A,Real Madrid,FC Barcelona,3:2,LW,55,0:1,Header
270,271,12/13,Supercopa,final,H,Real Madrid,FC Barcelona,2:1,LW,19,2:0,Right-footed shot
271,272,12/13,LaLiga,3,H,Real Madrid,Granada CF,3:0,LW,25,1:0,Right-footed shot
272,273,12/13,LaLiga,3,H,Real Madrid,Granada CF,3:0,LW,53,2:0,Left-footed shot
273,274,12/13,UEFA Champions League,Group Stage,H,Real Madrid,Manchester City,3:2,LW,90,3:2,Right-footed shot
274,275,12/13,LaLiga,5,A,Real Madrid,Rayo Vallecano,0:2,LW,69,0:2,Penalty
275,276,12/13,LaLiga,6,H,Real Madrid,Deportivo de La CoruÃ±a,5:1,LW,23,1:1,Penalty
276,277,12/13,LaLiga,6,H,Real Madrid,Deportivo de La CoruÃ±a,5:1,LW,44,3:1,Header
277,278,12/13,LaLiga,6,H,Real Madrid,Deportivo de La CoruÃ±a,5:1,LW,84,5:1,Penalty
278,279,12/13,UEFA Champions League,Group Stage,A,Real Madrid,Ajax Amsterdam,1:4,LW,42,0:1,Right-footed shot
279,280,12/13,UEFA Champions League,Group Stage,A,Real Madrid,Ajax Amsterdam,1:4,LW,79,1:3,Right-footed shot
280,281,12/13,UEFA Champions League,Group Stage,A,Real Madrid,Ajax Amsterdam,1:4,LW,81,1:4,Left-footed shot
281,282,12/13,LaLiga,7,A,Real Madrid,FC Barcelona,2:2,LW,22,0:1,Left-footed shot
282,283,12/13,LaLiga,7,A,Real Madrid,FC Barcelona,2:2,LW,66,2:2,Right-footed shot
283,284,12/13,LaLiga,8,H,Real Madrid,Celta de Vigo,2:0,LW,67,2:0,Penalty
284,285,12/13,UEFA Champions League,Group Stage,A,Real Madrid,Borussia Dortmund,2:1,LW,38,1:1,Right-footed shot
285,286,12/13,LaLiga,9,A,Real Madrid,RCD Mallorca,0:5,LW,22,0:2,Right-footed shot
286,287,12/13,LaLiga,9,A,Real Madrid,RCD Mallorca,0:5,LW,73,0:4,Right-footed shot
287,288,12/13,LaLiga,11,A,Real Madrid,Levante UD,1:2,CF,20,0:1,Right-footed shot
288,289,12/13,LaLiga,14,H,Real Madrid,Atlatico de Madrid,2:0,LW,16,1:0,Direct free kick
289,290,12/13,UEFA Champions League,Group Stage,H,Real Madrid,Ajax Amsterdam,4:1,LW,13,1:0,Right-footed shot
290,291,12/13,Copa del Rey,last 16,A,Real Madrid,Celta de Vigo,2:1,LW,87,2:1,Left-footed shot
291,292,12/13,LaLiga,16,H,Real Madrid,RCD Espanyol Barcelona,2:2,CF,45,1:1,Right-footed shot
292,293,12/13,LaLiga,18,H,Real Madrid,Real Sociedad,4:3,LW ,67,3:2,Left-footed shot
293,294,12/13,LaLiga,18,H,Real Madrid,Real Sociedad,4:3,LW ,70,4:2,Direct free kick
294,295,12/13,Copa del Rey,last 16,H,Real Madrid,Celta de Vigo,4:0,LW,2,1:0,Right-footed shot
295,296,12/13,Copa del Rey,last 16,H,Real Madrid,Celta de Vigo,4:0,LW,24,2:0,Left-footed shot
296,297,12/13,Copa del Rey,last 16,H,Real Madrid,Celta de Vigo,4:0,LW,87,3:0,Left-footed shot
297,298,12/13,LaLiga,20,A,Real Madrid,Valencia CF,0:5,LW,35,0:3,Left-footed shot
298,299,12/13,LaLiga,20,A,Real Madrid,Valencia CF,0:5,LW,41,0:4,Right-footed shot
299,300,12/13,LaLiga,21,H,Real Madrid,Getafe CF,4:0,LW,62,2:0,Left-footed shot
300,301,12/13,LaLiga,21,H,Real Madrid,Getafe CF,4:0,LW,65,3:0,Header
301,302,12/13,LaLiga,21,H,Real Madrid,Getafe CF,4:0,LW,72,4:0,Penalty
302,303,12/13,LaLiga,23,H,Real Madrid,Sevilla FC,4:1,LW,26,2:0,Left-footed shot
303,304,12/13,LaLiga,23,H,Real Madrid,Sevilla FC,4:1,LW,46,3:0,Left-footed shot
304,305,12/13,LaLiga,23,H,Real Madrid,Sevilla FC,4:1,LW,59,4:0,Right-footed shot
305,306,12/13,UEFA Champions League,last 16,H,Real Madrid,Manchester United,1:1,LW,30,1:1,Header
306,307,12/13,Copa del Rey,Semi-Finals,A,Real Madrid,FC Barcelona,1:3,LW,12,0:1,Penalty
307,308,12/13,Copa del Rey,Semi-Finals,A,Real Madrid,FC Barcelona,1:3,LW,57,0:2,Left-footed shot
308,309,12/13,UEFA Champions League,last 16,A,Real Madrid,Manchester United,1:2,LW,69,1:2,Right-footed shot
309,310,12/13,LaLiga,27,A,Real Madrid,Celta de Vigo,1:2,LW,61,0:1,Left-footed shot
310,311,12/13,LaLiga,27,A,Real Madrid,Celta de Vigo,1:2,LW,71,1:2,Penalty
311,312,12/13,LaLiga,28,H,Real Madrid,RCD Mallorca,5:2,LW,52,2:2,Header
312,313,12/13,LaLiga,29,A,Real Madrid,Real Zaragoza,1:1,LW,38,1:1,Long distance kick
313,314,12/13,UEFA Champions League,Quarter-Finals,H,Real Madrid,Galatasaray A.S.,3:0,LW,9,1:0,Left-footed shot
314,315,12/13,LaLiga,30,H,Real Madrid,Levante UD,5:1,CF,84,3:1,Right-footed shot
315,316,12/13,UEFA Champions League,Quarter-Finals,A,Real Madrid,Galatasaray A.S.,3:2,LW,8,0:1,Right-footed shot
316,317,12/13,UEFA Champions League,Quarter-Finals,A,Real Madrid,Galatasaray A.S.,3:2,LW,90+2,3:2,Right-footed shot
317,318,12/13,LaLiga,31,A,Real Madrid,Athletic Bilbao,0:3,LW,2,0:1,Direct free kick
318,319,12/13,LaLiga,31,A,Real Madrid,Athletic Bilbao,0:3,LW,68,0:2,Header
319,320,12/13,UEFA Champions League,Semi-Finals,A,Real Madrid,Borussia Dortmund,4:1,LW,43,1:1,Right-footed shot
320,321,12/13,LaLiga,34,H,Real Madrid,Real Valladolid CF,4:3,LW,32,2:1,Header
321,322,12/13,LaLiga,34,H,Real Madrid,Real Valladolid CF,4:3,LW,70,4:2,Header
322,323,12/13,LaLiga,36,H,Real Madrid,Malaga CF,6:2,LW ,26,2:1,Right-footed shot
323,324,12/13,Copa del Rey,Final,A,Real Madrid,Atlatico de Madrid,2:1 AET,LW,14,0:1,Header
324,325,13/14,LaLiga,3,H,Real Madrid,Athletic Bilbao,3:1,LW,45,2:0,Header
325,326,13/14,LaLiga,4,A,Real Madrid,Villarreal CF,2:2,LW,64,1:2,Right-footed shot
326,327,13/14,UEFA Champions League,Group Stage,A,Real Madrid,Galatasaray A.S.,1:6,LW,63,0:3,Left-footed shot
327,328,13/14,UEFA Champions League,Group Stage,A,Real Madrid,Galatasaray A.S.,1:6,LW,66,0:4,Tap-in
328,329,13/14,UEFA Champions League,Group Stage,A,Real Madrid,Galatasaray A.S.,1:6,LW,90,1:6,Left-footed shot
329,330,13/14,LaLiga,5,H,Real Madrid,Getafe CF,4:1,LW,34,2:1,Penalty
330,331,13/14,LaLiga,5,H,Real Madrid,Getafe CF,4:1,LW,90,4:1,Right-footed shot
331,332,13/14,LaLiga,6,A,Real Madrid,Elche CF,1:2,LW,51,0:1,Direct free kick
332,333,13/14,LaLiga,6,A,Real Madrid,Elche CF,1:2,LW,90+6,1:2,Penalty
333,334,13/14,UEFA Champions League,Group Stage,H,Real Madrid,FC Copenhagen,4:0,LW,21,1:0,Header
334,335,13/14,UEFA Champions League,Group Stage,H,Real Madrid,FC Copenhagen,4:0,LW,65,2:0,Header
335,336,13/14,LaLiga,8,A,Real Madrid,Levante UD,2:3,LW,90+4,2:3,Right-footed shot
336,337,13/14,LaLiga,9,H,Real Madrid,Malaga CF,2:0,LW,90+1,2:0,Penalty
337,338,13/14,UEFA Champions League,Group Stage,H,Real Madrid,Juventus FC,2:1,LW,4,1:0,Right-footed shot
338,339,13/14,UEFA Champions League,Group Stage,H,Real Madrid,Juventus FC,2:1,LW,29,2:1,Penalty
339,340,13/14,LaLiga,11,H,Real Madrid,Sevilla FC,7:3,LW,31,3:0,Penalty
340,341,13/14,LaLiga,11,H,Real Madrid,Sevilla FC,7:3,LW,60,5:2,Right-footed shot
341,342,13/14,LaLiga,11,H,Real Madrid,Sevilla FC,7:3,LW,71,6:3,Right-footed shot
342,343,13/14,LaLiga,12,A,Real Madrid,Rayo Vallecano,2:3,LW,3,0:1,Right-footed shot
343,344,13/14,LaLiga,12,A,Real Madrid,Rayo Vallecano,2:3,LW,48,0:3,Right-footed shot
344,345,13/14,UEFA Champions League,Group Stage,A,Real Madrid,Juventus FC,2:2,LW,52,1:1,Right-footed shot
345,346,13/14,LaLiga,13,H,Real Madrid,Real Sociedad,5:1,LW,12,1:0,Right-footed shot
346,347,13/14,LaLiga,13,H,Real Madrid,Real Sociedad,5:1,LW,27,3:0,Penalty
347,348,13/14,LaLiga,13,H,Real Madrid,Real Sociedad,5:1,LW,76,5:1,Direct free kick
348,349,13/14,LaLiga,14,A,Real Madrid,UD AlmerÃ­a,0:5,LW,3,0:1,Left-footed shot
349,350,13/14,UEFA Champions League,Group Stage,A,Real Madrid,FC Copenhagen,0:2,LW,48,0:2,Right-footed shot
350,351,13/14,LaLiga,17,A,Real Madrid,Valencia CF,2:3,LW,40,1:2,Header
351,352,13/14,LaLiga,18,H,Real Madrid,Celta de Vigo,3:0,LW,82,2:0,Right-footed shot
352,353,13/14,LaLiga,18,H,Real Madrid,Celta de Vigo,3:0,LW,90,3:0,Right-footed shot
353,354,13/14,Copa del Rey,last 16,A,Real Madrid,CA Osasuna,0:2,LW,22,0:1,Direct free kick
354,355,13/14,LaLiga,20,A,Real Madrid,Real Betis Balompia,0:5,LW,10,0:1,Right-footed shot
355,356,13/14,LaLiga,21,H,Real Madrid,Granada CF,2:0,LW,57,1:0,Right-footed shot
356,357,13/14,Copa del Rey,Semi-Finals,A,Real Madrid,Atlatico de Madrid,0:2,LW,6,0:1,Penalty
357,358,13/14,Copa del Rey,Semi-Finals,A,Real Madrid,Atlatico de Madrid,0:2,LW,15,0:2,Penalty
358,359,13/14,UEFA Champions League,last 16,A,Real Madrid,FC Schalke 4,1:6,LW,52,0:3,Left-footed shot
359,360,13/14,UEFA Champions League,last 16,A,Real Madrid,FC Schalke 4,1:6,LW,89,0:6,Right-footed shot
360,361,13/14,LaLiga,26,A,Real Madrid,Atlatico de Madrid,2:2,LW,82,2:2,Right-footed shot
361,362,13/14,LaLiga,27,H,Real Madrid,Levante UD,3:0,LW,11,1:0,Header
362,363,13/14,LaLiga,28,A,Real Madrid,Malaga CF,0:1,LW,23,0:1,Right-footed shot
363,364,13/14,UEFA Champions League,last 16,H,Real Madrid,FC Schalke 4,3:1,LW,22,1:0,Right-footed shot
364,365,13/14,UEFA Champions League,last 16,H,Real Madrid,FC Schalke 4,3:1,LW,74,2:1,Right-footed shot
365,366,13/14,LaLiga,29,H,Real Madrid,FC Barcelona,3:4,LW,55,3:2,Penalty
366,367,13/14,LaLiga,30,A,Real Madrid,Sevilla FC,2:1,LW,14,0:1,Direct free kick
367,368,13/14,LaLiga,31,H,Real Madrid,Rayo Vallecano,5:0,LW,15,1:0,Right-footed shot
368,369,13/14,UEFA Champions League,Quarter-Finals,H,Real Madrid,Borussia Dortmund,3:0,LW,57,3:0,Left-footed shot
369,370,13/14,LaLiga,35,H,Real Madrid,CA Osasuna,4:0,LW,6,1:0,Long distance kick
370,371,13/14,LaLiga,35,H,Real Madrid,CA Osasuna,4:0,LW,52,2:0,Long distance kick
371,372,13/14,UEFA Champions League,Semi-Finals,A,Real Madrid,Bayern Munich,0:4,LW,34,0:3,Counter attack goal
372,373,13/14,UEFA Champions League,Semi-Finals,A,Real Madrid,Bayern Munich,0:4,LW,90,0:4,Direct free kick
373,374,13/14,LaLiga,36,H,Real Madrid,Valencia CF,2:2,LW,90,2:2,Right-footed shot
374,375,13/14,UEFA Champions League,Final,H,Real Madrid,Atlatico de Madrid,4:1 AET,LW,120,4:1,Penalty
375,376,14/15,UEFA Super Cup,Final,H,Real Madrid,Sevilla FC,2:0,LW,30,1:0,Right-footed shot
376,377,14/15,UEFA Super Cup,Final,H,Real Madrid,Sevilla FC,2:0,LW,49,2:0,Left-footed shot
377,378,14/15,LaLiga,1,H,Real Madrid,Cardoba CF,2:0,LW,90,2:0,Right-footed shot
378,379,14/15,LaLiga,3,H,Real Madrid,Atlatico de Madrid,1:2,LW,25,1:1,Penalty
379,380,14/15,UEFA Champions League,Group Stage,H,Real Madrid,FC Basel 1893,5:1,LW,31,3:0,Right-footed shot
380,381,14/15,LaLiga,4,A,Real Madrid,Deportivo de La CoruÃ±a,2:8,RW,29,0:1,Header
381,382,14/15,LaLiga,4,A,Real Madrid,Deportivo de La CoruÃ±a,2:8,RW,41,0:3,Left-footed shot
382,383,14/15,LaLiga,4,A,Real Madrid,Deportivo de La CoruÃ±a,2:8,RW,78,1:6,Left-footed shot
383,384,14/15,LaLiga,5,H,Real Madrid,Elche CF,5:1,CF,28,2:1,Penalty
384,385,14/15,LaLiga,5,H,Real Madrid,Elche CF,5:1,CF,32,3:1,Header
385,386,14/15,LaLiga,5,H,Real Madrid,Elche CF,5:1,CF,80,4:1,Penalty
386,387,14/15,LaLiga,5,H,Real Madrid,Elche CF,5:1,CF,90,5:1,Right-footed shot
387,388,14/15,LaLiga,6,A,Real Madrid,Villarreal CF,0:2,CF,40,0:2,Right-footed shot
388,389,14/15,UEFA Champions League,Group Stage,A,Real Madrid,Ludogorets Razgrad,1:2,CF,25,1:1,Penalty
389,390,14/15,LaLiga,7,H,Real Madrid,Athletic Bilbao,5:0,LW,3,1:0,Header
390,391,14/15,LaLiga,7,H,Real Madrid,Athletic Bilbao,5:0,LW,55,3:0,Right-footed shot
391,392,14/15,LaLiga,7,H,Real Madrid,Athletic Bilbao,5:0,LW,89,5:0,Deflected shot on goal
392,393,14/15,LaLiga,8,A,Real Madrid,Levante UD,0:5,CF,13,0:1,Penalty
393,394,14/15,LaLiga,8,A,Real Madrid,Levante UD,0:5,CF,61,0:3,Right-footed shot
394,395,14/15,UEFA Champions League,Group Stage,A,Real Madrid,Liverpool FC,0:3,CF,23,0:1,Right-footed shot
395,396,14/15,LaLiga,9,H,Real Madrid,FC Barcelona,3:1,CF,35,1:1,Penalty
396,397,14/15,LaLiga,10,A,Real Madrid,Granada CF,0:4,CF,2,0:1,Right-footed shot
397,398,14/15,LaLiga,11,H,Real Madrid,Rayo Vallecano,5:1,CF,83,5:1,Right-footed shot
398,399,14/15,LaLiga,12,A,Real Madrid,SD Eibar,0:4,CF,43,0:2,Right-footed shot
399,400,14/15,LaLiga,12,A,Real Madrid,SD Eibar,0:4,CF,83,0:4,Penalty
400,401,14/15,UEFA Champions League,Group Stage,A,Real Madrid,FC Basel 1893,0:1,LW,35,0:1,Left-footed shot
401,402,14/15,LaLiga,14,H,Real Madrid,Celta de Vigo,3:0,CF,36,1:0,Penalty
402,403,14/15,LaLiga,14,H,Real Madrid,Celta de Vigo,3:0,CF,65,2:0,Right-footed shot
403,404,14/15,LaLiga,14,H,Real Madrid,Celta de Vigo,3:0,CF,81,3:0,Left-footed shot
404,405,14/15,UEFA Champions League,Group Stage,H,Real Madrid,Ludogorets Razgrad,4:0,CF ,20,1:0,Penalty
405,406,14/15,LaLiga,15,A,Real Madrid,UD AlmerÃ­a,1:4,CF,81,1:3,Right-footed shot
406,407,14/15,LaLiga,15,A,Real Madrid,UD AlmerÃ­a,1:4,CF,89,1:4,Right-footed shot
407,408,14/15,LaLiga,17,A,Real Madrid,Valencia CF,2:1,LW,14,0:1,Penalty
408,409,14/15,Copa del Rey,last 16,H,Real Madrid,Atlatico de Madrid,2:2,CF,54,2:2,Header
409,410,14/15,LaLiga,19,A,Real Madrid,Getafe CF,0:3,LW,63,0:1,Left-footed shot
410,411,14/15,LaLiga,19,A,Real Madrid,Getafe CF,0:3,LW,79,0:3,Header
411,412,14/15,UEFA Champions League,last 16,A,Real Madrid,FC Schalke 4,0:2,LW,26,0:1,Header
412,413,14/15,LaLiga,24,A,Real Madrid,Elche CF,0:2,CF,69,0:2,Header
413,414,14/15,LaLiga,25,H,Real Madrid,Villarreal CF,1:1,CF,52,1:0,Penalty
414,415,14/15,UEFA Champions League,last 16,H,Real Madrid,FC Schalke 4,3:4,CF,25,1:1,Header
415,416,14/15,UEFA Champions League,last 16,H,Real Madrid,FC Schalke 4,3:4,CF,45,2:2,Header
416,417,14/15,LaLiga,28,A,Real Madrid,FC Barcelona,2:1,LW,31,1:1,Right-footed shot
417,418,14/15,LaLiga,29,H,Real Madrid,Granada CF,9:1,CF,30,2:0,Right-footed shot
418,419,14/15,LaLiga,29,H,Real Madrid,Granada CF,9:1,CF,36,3:0,Right-footed shot
419,420,14/15,LaLiga,29,H,Real Madrid,Granada CF,9:1,CF,38,4:0,Long distance kick
420,421,14/15,LaLiga,29,H,Real Madrid,Granada CF,9:1,CF,54,6:0,Header
421,422,14/15,LaLiga,29,H,Real Madrid,Granada CF,9:1,CF,90,9:1,Header
422,423,14/15,LaLiga,30,A,Real Madrid,Rayo Vallecano,0:2,LW,68,0:1,Header
423,424,14/15,LaLiga,31,H,Real Madrid,SD Eibar,3:0,LW,21,1:0,Direct free kick
424,425,14/15,LaLiga,32,H,Real Madrid,Malaga CF,3:1,CF,90+2,3:1,Left-footed shot
425,426,14/15,LaLiga,35,A,Real Madrid,Sevilla FC,2:3,CF,36,0:1,Header
426,427,14/15,LaLiga,35,A,Real Madrid,Sevilla FC,2:3,CF,37,0:2,Right-footed shot
427,428,14/15,LaLiga,35,A,Real Madrid,Sevilla FC,2:3,CF,69,1:3,Header
428,429,14/15,UEFA Champions League,Semi-Finals,A,Real Madrid,Juventus FC,2:1,CF,27,1:1,Header
429,430,14/15,UEFA Champions League,Semi-Finals,H,Real Madrid,Juventus FC,1:1,LW,23,1:0,Penalty
430,431,14/15,LaLiga,37,A,Real Madrid,RCD Espanyol Barcelona,1:4,LW,59,0:1,Left-footed shot
431,432,14/15,LaLiga,37,A,Real Madrid,RCD Espanyol Barcelona,1:4,LW,83,1:3,Right-footed shot
432,433,14/15,LaLiga,37,A,Real Madrid,RCD Espanyol Barcelona,1:4,LW,90+1,1:4,Header
433,434,14/15,LaLiga,38,H,Real Madrid,Getafe CF,7:3,LW,13,1:0,Header
434,435,14/15,LaLiga,38,H,Real Madrid,Getafe CF,7:3,LW,32,2:2,Direct free kick
435,436,14/15,LaLiga,38,H,Real Madrid,Getafe CF,7:3,LW,34,3:2,Penalty
436,437,15/16,LaLiga,3,A,Real Madrid,RCD Espanyol Barcelona,0:6,LW,7,0:1,Right-footed shot
437,438,15/16,LaLiga,3,A,Real Madrid,RCD Espanyol Barcelona,0:6,LW,17,0:2,Penalty
438,439,15/16,LaLiga,3,A,Real Madrid,RCD Espanyol Barcelona,0:6,LW,20,0:3,Left-footed shot
439,440,15/16,LaLiga,3,A,Real Madrid,RCD Espanyol Barcelona,0:6,LW,62,0:5,Right-footed shot
440,441,15/16,LaLiga,3,A,Real Madrid,RCD Espanyol Barcelona,0:6,LW,81,0:6,Right-footed shot
441,442,15/16,UEFA Champions League,Group Stage,H,Real Madrid,Shakhtar Donetsk,4:0,LW,56,2:0,Penalty
442,443,15/16,UEFA Champions League,Group Stage,H,Real Madrid,Shakhtar Donetsk,4:0,LW,64,3:0,Penalty
443,444,15/16,UEFA Champions League,Group Stage,H,Real Madrid,Shakhtar Donetsk,4:0,LW,82,4:0,Header
444,445,15/16,UEFA Champions League,Group Stage,A,Real Madrid,Malmo FF,0:2,LW ,29,0:1,Right-footed shot
445,446,15/16,UEFA Champions League,Group Stage,A,Real Madrid,Malmo FF,0:2,LW ,90,0:2,Left-footed shot
446,447,15/16,LaLiga,8,H,Real Madrid,Levante UD,3:0,CF,30,2:0,Right-footed shot
447,448,15/16,LaLiga,9,A,Real Madrid,Celta de Vigo,1:3,CF,8,0:1,Right-footed shot
448,449,15/16,LaLiga,10,H,Real Madrid,UD Las Palmas,3:1,CF,14,2:0,Header
449,450,15/16,UEFA Champions League,Group Stage,A,Real Madrid,Shakhtar Donetsk,3:4,CF,18,0:1,Header
450,451,15/16,UEFA Champions League,Group Stage,A,Real Madrid,Shakhtar Donetsk,3:4,CF,70,0:4,Right-footed shot
451,452,15/16,LaLiga,13,A,Real Madrid,SD Eibar,0:2,CF,82,0:2,Penalty
452,453,15/16,LaLiga,14,H,Real Madrid,Getafe CF,4:1,LW,38,4:0,Right-footed shot
453,454,15/16,UEFA Champions League,Group Stage,H,Real Madrid,Malmo FF,8:0,LW,39,3:0,Direct free kick
454,455,15/16,UEFA Champions League,Group Stage,H,Real Madrid,Malmo FF,8:0,LW,47,4:0,Tap-in
455,456,15/16,UEFA Champions League,Group Stage,H,Real Madrid,Malmo FF,8:0,LW,50,5:0,Right-footed shot
456,457,15/16,UEFA Champions League,Group Stage,H,Real Madrid,Malmo FF,8:0,LW,59,6:0,Right-footed shot
457,458,15/16,LaLiga,16,H,Real Madrid,Rayo Vallecano,10:2,LW,30,3:2,Penalty
458,459,15/16,LaLiga,16,H,Real Madrid,Rayo Vallecano,10:2,LW,54,6:2,Header
459,460,15/16,LaLiga,17,H,Real Madrid,Real Sociedad,3:1,LW,42,1:0,Penalty
460,461,15/16,LaLiga,17,H,Real Madrid,Real Sociedad,3:1,LW,68,2:1,Left-footed shot
461,462,15/16,LaLiga,20,H,Real Madrid,Sporting Gijan,5:1,LW,9,2:0,Left-footed shot
462,463,15/16,LaLiga,20,H,Real Madrid,Sporting Gijan,5:1,LW,18,4:0,Left-footed shot
463,464,15/16,LaLiga,22,H,Real Madrid,RCD Espanyol Barcelona,6:0,LW,12,2:0,Penalty
464,465,15/16,LaLiga,22,H,Real Madrid,RCD Espanyol Barcelona,6:0,LW,45,4:0,Left-footed shot
