,Goal_no,Season,Competition,Matchday,Venue,Team,Opponent,Result,Position,Minute,At_score,Type_of_goal
465,466,15/16,LaLiga,22,H,Real Madrid,RCD Espanyol Barcelona,6:0,LW,82,5:0,Header
466,467,15/16,LaLiga,24,H,Real Madrid,Athletic Bilbao,4:2,LW,3,1:0,Right-footed shot
467,468,15/16,LaLiga,24,H,Real Madrid,Athletic Bilbao,4:2,LW,87,4:1,Right-footed shot
468,469,15/16,UEFA Champions League,last 16,A,Real Madrid,AS Roma,0:2,LW,57,0:1,Right-footed shot
469,470,15/16,LaLiga,25,A,Real Madrid,Malaga CF,1:1,LW,33,0:1,Header
470,471,15/16,LaLiga,27,A,Real Madrid,Levante UD,1:3,LW,34,0:1,Penalty
471,472,15/16,LaLiga,28,H,Real Madrid,Celta de Vigo,7:1,LW,50,2:0,Long distance kick
472,473,15/16,LaLiga,28,H,Real Madrid,Celta de Vigo,7:1,LW,58,3:0,Direct free kick
473,474,15/16,LaLiga,28,H,Real Madrid,Celta de Vigo,7:1,LW,64,4:1,Right-footed shot
474,475,15/16,LaLiga,28,H,Real Madrid,Celta de Vigo,7:1,LW,76,5:1,Header
475,476,15/16,UEFA Champions League,last 16,H,Real Madrid,AS Roma,2:0,CF,64,1:0,Right-footed shot
476,477,15/16,LaLiga,30,H,Real Madrid,Sevilla FC,4:0,LW,64,2:0,Left-footed shot
477,478,15/16,LaLiga,31,A,Real Madrid,FC Barcelona,1:2,LW,85,1:2,Right-footed shot
478,479,15/16,LaLiga,32,H,Real Madrid,SD Eibar,4:0,CF,19,3:0,Right-footed shot
479,480,15/16,UEFA Champions League,Quarter-Finals,H,Real Madrid,VfL Wolfsburg,3:0,LW,16,1:0,Right-footed shot
480,481,15/16,UEFA Champions League,Quarter-Finals,H,Real Madrid,VfL Wolfsburg,3:0,LW,17,2:0,Header
481,482,15/16,UEFA Champions League,Quarter-Finals,H,Real Madrid,VfL Wolfsburg,3:0,LW,77,3:0,Direct free kick
482,483,15/16,LaLiga,33,A,Real Madrid,Getafe CF,1:5,LW,90+2,1:5,Left-footed shot
483,484,15/16,LaLiga,37,H,Real Madrid,Valencia CF,3:2,LW,26,1:0,Right-footed shot
484,485,15/16,LaLiga,37,H,Real Madrid,Valencia CF,3:2,LW,59,3:1,Left-footed shot
485,486,15/16,LaLiga,38,A,Real Madrid,Deportivo de La CoruÃ±a,0:2,LW,8,0:1,Left-footed shot
486,487,15/16,LaLiga,38,A,Real Madrid,Deportivo de La CoruÃ±a,0:2,LW,25,0:2,Header
487,488,16/17,LaLiga,3,H,Real Madrid,CA Osasuna,5:2,LW,6,1:0,Right-footed shot
488,489,16/17,UEFA Champions League,Group Stage,H,Real Madrid,Sporting CP,2:1,LW,89,1:1,Direct free kick
489,490,16/17,UEFA Champions League,Group Stage,A,Real Madrid,Borussia Dortmund,2:2,LW,17,0:1,Right-footed shot
490,491,16/17,LaLiga,8,A,Real Madrid,Real Betis Balompia,1:6,LW,78,1:6,Right-footed shot
491,492,16/17,LaLiga,10,A,Real Madrid,Deportivo Alavas,1:4,LW,17,1:1,Penalty
492,493,16/17,LaLiga,10,A,Real Madrid,Deportivo Alavas,1:4,LW,33,1:2,Right-footed shot
493,494,16/17,LaLiga,10,A,Real Madrid,Deportivo Alavas,1:4,LW,88,1:4,Right-footed shot
494,495,16/17,LaLiga,12,A,Real Madrid,Atlatico de Madrid,0:3,CF,23,0:1,Direct free kick
495,496,16/17,LaLiga,12,A,Real Madrid,Atlatico de Madrid,0:3,CF,71,0:2,Penalty
496,497,16/17,LaLiga,12,A,Real Madrid,Atlatico de Madrid,0:3,CF,77,0:3,Right-footed shot
497,498,16/17,LaLiga,13,H,Real Madrid,Sporting Gijan,2:1,LW,5,1:0,Penalty
498,499,16/17,LaLiga,13,H,Real Madrid,Sporting Gijan,2:1,LW,18,2:0,Header
499,500,16/17,FIFA Club World Cup,Semi-Finals,A,Real Madrid,CF Amarica,0:2,LW,90+3,0:2,Right-footed shot
500,501,16/17,FIFA Club World Cup,Final,H,Real Madrid,Kashima Antlers,4:2 AET,LW,60,2:2,Penalty
501,502,16/17,FIFA Club World Cup,Final,H,Real Madrid,Kashima Antlers,4:2 AET,LW,97,3:2,Left-footed shot
502,503,16/17,FIFA Club World Cup,Final,H,Real Madrid,Kashima Antlers,4:2 AET,LW,14,4:2,Left-footed shot
503,504,16/17,LaLiga,17,H,Real Madrid,Granada CF,5:0,LW,27,3:0,Header
504,505,16/17,LaLiga,18,A,Real Madrid,Sevilla FC,2:1,CF,67,0:1,Penalty
505,506,16/17,Copa del Rey,Quarter-Finals,A,Real Madrid,Celta de Vigo,2:2,CF,62,1:1,Direct free kick
506,507,16/17,LaLiga,20,H,Real Madrid,Real Sociedad,3:0,LW,51,2:0,Right-footed shot
507,508,16/17,LaLiga,22,A,Real Madrid,CA Osasuna,1:3,CF,24,0:1,Right-footed shot
508,509,16/17,LaLiga,16,A,Real Madrid,Valencia CF,2:1,LW,44,2:1,Header
509,510,16/17,LaLiga,24,A,Real Madrid,Villarreal CF,2:3,LW,74,2:2,Penalty
510,511,16/17,LaLiga,25,H,Real Madrid,UD Las Palmas,3:3,LW,86,2:3,Penalty
511,512,16/17,LaLiga,25,H,Real Madrid,UD Las Palmas,3:3,LW,89,3:3,Header
512,513,16/17,LaLiga,27,H,Real Madrid,Real Betis Balompia,2:1,LW,41,1:1,Header
513,514,16/17,UEFA Champions League,Quarter-Finals,A,Real Madrid,Bayern Munich,1:2,LW,47,1:1,Right-footed shot
514,515,16/17,UEFA Champions League,Quarter-Finals,A,Real Madrid,Bayern Munich,1:2,LW,77,1:2,Right-footed shot
515,516,16/17,UEFA Champions League,Quarter-Finals,H,Real Madrid,Bayern Munich,4:2 AET,CF,76,1:1,Header
516,517,16/17,UEFA Champions League,Quarter-Finals,H,Real Madrid,Bayern Munich,4:2 AET,CF,15,2:2,Left-footed shot
517,518,16/17,UEFA Champions League,Quarter-Finals,H,Real Madrid,Bayern Munich,4:2 AET,CF,19,3:2,Right-footed shot
518,519,16/17,LaLiga,35,H,Real Madrid,Valencia CF,2:1,LW,27,1:0,Header
519,520,16/17,UEFA Champions League,Semi-Finals,H,Real Madrid,Atlatico de Madrid,3:0,CF,10,1:0,Header
520,521,16/17,UEFA Champions League,Semi-Finals,H,Real Madrid,Atlatico de Madrid,3:0,CF,73,2:0,Right-footed shot
521,522,16/17,UEFA Champions League,Semi-Finals,H,Real Madrid,Atlatico de Madrid,3:0,CF,86,3:0,Right-footed shot
522,523,16/17,LaLiga,37,H,Real Madrid,Sevilla FC,4:1,LW,23,2:0,Right-footed shot
523,524,16/17,LaLiga,37,H,Real Madrid,Sevilla FC,4:1,LW,78,3:1,Left-footed shot
524,525,16/17,LaLiga,21,A,Real Madrid,Celta de Vigo,1:4,CF,10,0:1,Left-footed shot
525,526,16/17,LaLiga,21,A,Real Madrid,Celta de Vigo,1:4,CF,48,0:2,Left-footed shot
526,527,16/17,LaLiga,38,A,Real Madrid,Malaga CF,0:2,CF,2,0:1,Right-footed shot
527,528,16/17,UEFA Champions League,Final,A,Real Madrid,Juventus FC,1:4,CF,20,0:1,Right-footed shot
528,529,16/17,UEFA Champions League,Final,A,Real Madrid,Juventus FC,1:4,CF,64,1:3,Right-footed shot
529,530,17/18,Supercopa,final,A,Real Madrid,FC Barcelona,1:3,CF,80,1:2,Right-footed shot
530,531,17/18,UEFA Champions League,Group Stage,H,Real Madrid,APOEL Nicosia,3:0,CF,12,1:0,Counter attack goal
531,532,17/18,UEFA Champions League,Group Stage,H,Real Madrid,APOEL Nicosia,3:0,CF,51,2:0,Penalty
532,533,17/18,UEFA Champions League,Group Stage,A,Real Madrid,Borussia Dortmund,1:3,CF,49,0:2,Left-footed shot
533,534,17/18,UEFA Champions League,Group Stage,A,Real Madrid,Borussia Dortmund,1:3,CF,79,1:3,Right-footed shot
534,535,17/18,LaLiga,8,A,Real Madrid,Getafe CF,1:2,CF,85,1:2,Right-footed shot
535,536,17/18,UEFA Champions League,Group Stage,H,Real Madrid,Tottenham Hotspur,1:1,LW,43,1:1,Penalty
536,537,17/18,UEFA Champions League,Group Stage,A,Real Madrid,Tottenham Hotspur,3:1,LW,80,3:1,Right-footed shot
537,538,17/18,UEFA Champions League,Group Stage,A,Real Madrid,APOEL Nicosia,0:6,LW,49,0:5,Header
538,539,17/18,UEFA Champions League,Group Stage,A,Real Madrid,APOEL Nicosia,0:6,LW,54,0:6,Left-footed shot
539,540,17/18,LaLiga,13,H,Real Madrid,Malaga CF,3:2,CF,76,3:2,Penalty rebound
540,541,17/18,UEFA Champions League,Group Stage,H,Real Madrid,Borussia Dortmund,3:2,LW,12,2:0,Right-footed shot
541,542,17/18,LaLiga,15,H,Real Madrid,Sevilla FC,5:0,CF,23,2:0,Right-footed shot
542,543,17/18,LaLiga,15,H,Real Madrid,Sevilla FC,5:0,CF,31,3:0,Penalty
543,544,17/18,FIFA Club World Cup,Semi-Finals,A,Real Madrid,Al-Jazira (Abu Dhabi),1:2,LW,53,1:1,Right-footed shot
544,545,17/18,FIFA Club World Cup,Final,H,Real Madrid,GrÃªmio Foot-Ball Porto Alegrense,1:0,LW,53,1:0,Direct free kick
545,546,17/18,LaLiga,20,H,Real Madrid,Deportivo de La CoruÃ±a,7:1,LW,78,5:1,Left-footed shot
546,547,17/18,LaLiga,20,H,Real Madrid,Deportivo de La CoruÃ±a,7:1,LW,84,6:1,Header
547,548,17/18,LaLiga,21,A,Real Madrid,Valencia CF,1:4,LW,16,0:1,Penalty
548,549,17/18,LaLiga,21,A,Real Madrid,Valencia CF,1:4,LW,38,0:2,Penalty
549,550,17/18,LaLiga,23,H,Real Madrid,Real Sociedad,5:2,CF,27,2:0,Right-footed shot
550,551,17/18,LaLiga,23,H,Real Madrid,Real Sociedad,5:2,CF,37,4:0,Header
551,552,17/18,LaLiga,23,H,Real Madrid,Real Sociedad,5:2,CF,80,5:1,Tap-in
552,553,17/18,UEFA Champions League,last 16,H,Real Madrid,Paris Saint-Germain,3:1,LW,45,1:1,Penalty
553,554,17/18,UEFA Champions League,last 16,H,Real Madrid,Paris Saint-Germain,3:1,LW,83,2:1,Tap-in
554,555,17/18,LaLiga,24,A,Real Madrid,Real Betis Balompia,3:5,CF,65,2:4,Right-footed shot
555,556,17/18,LaLiga,25,H,Real Madrid,Deportivo Alavas,4:0,CF ,44,1:0,Left-footed shot
556,557,17/18,LaLiga,25,H,Real Madrid,Deportivo Alavas,4:0,CF ,61,3:0,Right-footed shot
557,558,17/18,LaLiga,27,H,Real Madrid,Getafe CF,3:1,CF,45+1,2:0,Left-footed shot
558,559,17/18,LaLiga,27,H,Real Madrid,Getafe CF,3:1,CF,78,3:1,Header
559,560,17/18,UEFA Champions League,last 16,A,Real Madrid,Paris Saint-Germain,1:2,CF,51,0:1,Header
560,561,17/18,LaLiga,28,A,Real Madrid,SD Eibar,1:2,CF,33,0:1,Right-footed shot
561,562,17/18,LaLiga,28,A,Real Madrid,SD Eibar,1:2,CF,84,1:2,Header
562,563,17/18,LaLiga,29,H,Real Madrid,Girona FC,6:3,CF,11,1:0,Left-footed shot
563,564,17/18,LaLiga,29,H,Real Madrid,Girona FC,6:3,CF,47,2:1,Left-footed shot
564,565,17/18,LaLiga,29,H,Real Madrid,Girona FC,6:3,CF,64,4:1,Tap-in
565,566,17/18,LaLiga,29,H,Real Madrid,Girona FC,6:3,CF,90+1,6:3,Right-footed shot
566,567,17/18,UEFA Champions League,Quarter-Finals,A,Real Madrid,Juventus FC,0:3,CF,3,0:1,Right-footed shot
567,568,17/18,UEFA Champions League,Quarter-Finals,A,Real Madrid,Juventus FC,0:3,CF,64,0:2,Right-footed shot
568,569,17/18,LaLiga,31,H,Real Madrid,Atlatico de Madrid,1:1,CF,53,1:0,Right-footed shot
569,570,17/18,UEFA Champions League,Quarter-Finals,H,Real Madrid,Juventus FC,1:3,CF,90+7,1:3,Penalty
570,571,17/18,LaLiga,33,H,Real Madrid,Athletic Bilbao,1:1,CF,87,1:1,Right-footed shot
571,572,17/18,LaLiga,36,A,Real Madrid,FC Barcelona,2:2,LW,14,1:1,Right-footed shot
572,573,17/18,LaLiga,38,A,Real Madrid,Villarreal CF,2:2,CF,32,0:2,Header
573,574,18/19,Serie A,4,H,Juventus FC,US Sassuolo,2:1,CF,50,1:0,Tap-in
574,575,18/19,Serie A,4,H,Juventus FC,US Sassuolo,2:1,CF,65,2:0,Left-footed shot
575,576,18/19,Serie A,5,A,Juventus FC,Frosinone Calcio,0:2,LW,81,0:1,Left-footed shot
576,577,18/19,Serie A,8,A,Juventus FC,Udinese Calcio,0:2,LW,37,0:2,Left-footed shot
577,578,18/19,Serie A,9,H,Juventus FC,Genoa CFC,1:1,LW,18,1:0,Tap-in
578,579,18/19,Serie A,10,A,Juventus FC,Empoli FC ,1:2,CF,54,1:1,Penalty
579,580,18/19,Serie A,10,A,Juventus FC,Empoli FC ,1:2,CF,70,1:2,Right-footed shot
580,581,18/19,UEFA Champions League,Group Stage,H,Juventus FC,Manchester United,1:2,CF,65,1:0,Right-footed shot
581,582,18/19,Serie A,12,A,Juventus FC,AC Milan,0:2,LW,81,0:2,Tap-in
582,583,18/19,Serie A,13,H,Juventus FC,SPAL,2:0,CF,29,1:0,Left-footed shot
583,584,18/19,Serie A,14,A,Juventus FC,ACF Fiorentina,0:3,LW,79,0:3,Penalty
584,585,18/19,Serie A,16,A,Juventus FC,Torino FC,0:1,LW,70,0:1,Penalty
585,586,18/19,Serie A,18,A,Juventus FC,Atalanta BC,2:2,CF,78,2:2,Header
586,587,18/19,Serie A,19,H,Juventus FC,UC Sampdoria,2:1,LW,2,1:0,Right-footed shot
587,588,18/19,Serie A,19,H,Juventus FC,UC Sampdoria,2:1,LW,65,2:1,Penalty
588,589,18/19,Supercoppa Italiana,Final,H,Juventus FC,AC Milan,1:0,LW,61,1:0,Header
589,590,18/19,Serie A,21,A,Juventus FC,SS Lazio,1:2,LW,88,1:2,Penalty
590,591,18/19,Serie A,22,H,Juventus FC,Parma Calcio 1913,3:3,LW,36,1:0,Right-footed shot
591,592,18/19,Serie A,22,H,Juventus FC,Parma Calcio 1913,3:3,LW,66,3:1,Header
592,593,18/19,Serie A,23,A,Juventus FC,US Sassuolo,0:3,LW,70,0:2,Header
593,594,18/19,Serie A,24,H,Juventus FC,Frosinone Calcio,3:0,LW,63,3:0,Right-footed shot
594,595,18/19,UEFA Champions League,last 16,H,Juventus FC,Atlatico de Madrid,3:0,CF,27,1:0,Header
595,596,18/19,UEFA Champions League,last 16,H,Juventus FC,Atlatico de Madrid,3:0,CF,49,2:0,Header
596,597,18/19,UEFA Champions League,last 16,H,Juventus FC,Atlatico de Madrid,3:0,CF,86,3:0,Penalty
597,598,18/19,UEFA Champions League,Quarter-Finals,A,Juventus FC,Ajax Amsterdam,1:1,LW,45,0:1,Header
598,599,18/19,UEFA Champions League,Quarter-Finals,H,Juventus FC,Ajax Amsterdam,1:2,LW,28,1:0,Header
599,600,18/19,Serie A,34,A,Juventus FC,Inter Milan,1:1,CF,62,1:1,Left-footed shot
600,601,18/19,Serie A,35,H,Juventus FC,Torino FC,1:1,CF,84,1:1,Header
601,602,19/20,Serie A,2,H,Juventus FC,SSC Napoli,4:3,LW,62,3:0,Left-footed shot
602,603,19/20,Serie A,4,H,Juventus FC,Hellas Verona,2:1,LW,49,2:1,Penalty
603,604,19/20,Serie A,6,H,Juventus FC,SPAL,2:0,CF,78,2:0,Header
604,605,19/20,UEFA Champions League,Group Stage,H,Juventus FC,Bayer 4 Leverkusen,3:0,CF,89,3:0,Right-footed shot
605,606,19/20,Serie A,8,H,Juventus FC,Bologna FC 199,2:1,CF,19,1:0,Right-footed shot
606,607,19/20,Serie A,10,H,Juventus FC,Genoa CFC,2:1,CF,90+6,2:1,Penalty
607,608,19/20,Serie A,14,H,Juventus FC,US Sassuolo,2:2,CF,68,2:2,Penalty
608,609,19/20,Serie A,15,A,Juventus FC,SS Lazio,3:1,CF,25,0:1,Tap-in
609,610,19/20,UEFA Champions League,Group Stage,A,Juventus FC,Bayer 4 Leverkusen,0:2,CF,75,0:1,Right-footed shot
610,611,19/20,Serie A,16,H,Juventus FC,Udinese Calcio,3:1,CF,9,1:0,Right-footed shot
611,612,19/20,Serie A,16,H,Juventus FC,Udinese Calcio,3:1,CF,37,2:0,Left-footed shot
612,613,19/20,Serie A,17,A,Juventus FC,UC Sampdoria,1:2,LW,45,1:2,Header
613,614,19/20,Serie A,18,H,Juventus FC,Cagliari Calcio,4:0,CF,49,1:0,Right-footed shot
614,615,19/20,Serie A,18,H,Juventus FC,Cagliari Calcio,4:0,CF,67,2:0,Penalty
615,616,19/20,Serie A,18,H,Juventus FC,Cagliari Calcio,4:0,CF,82,4:0,Left-footed shot
616,617,19/20,Serie A,19,A,Juventus FC,AS Roma,1:2,CF,10,0:2,Penalty
617,618,19/20,Serie A,20,H,Juventus FC,Parma Calcio 1913,2:1,CF,43,1:0,Deflected shot on goal
618,619,19/20,Serie A,20,H,Juventus FC,Parma Calcio 1913,2:1,CF,58,2:1,Right-footed shot
619,620,19/20,Italy Cup,Quarter-Finals,H,Juventus FC,AS Roma,3:1,LW,26,1:0,Left-footed shot
620,621,19/20,Serie A,21,A,Juventus FC,SSC Napoli,2:1,LW,90,2:1,Right-footed shot
621,622,19/20,Serie A,22,H,Juventus FC,ACF Fiorentina,3:0,LW,40,1:0,Penalty
622,623,19/20,Serie A,22,H,Juventus FC,ACF Fiorentina,3:0,LW,80,2:0,Penalty
623,624,19/20,Serie A,23,A,Juventus FC,Hellas Verona,2:1,LW,65,0:1,Right-footed shot
624,625,19/20,Italy Cup,Semi-Finals,A,Juventus FC,AC Milan,1:1,LW,90+1,1:1,Penalty
625,626,19/20,Serie A,25,A,Juventus FC,SPAL,1:2,LW,39,0:1,Tap-in
626,627,19/20,Serie A,27,A,Juventus FC,Bologna FC 199,0:2,LW,23,0:1,Penalty
627,628,19/20,Serie A,28,H,Juventus FC,US Lecce,4:0,LW,62,2:0,Penalty
628,629,19/20,Serie A,29,A,Juventus FC,Genoa CFC,1:3,LW,56,0:2,Long distance kick
629,630,19/20,Serie A,30,H,Juventus FC,Torino FC,4:1,LW,61,3:1,Direct free kick
630,631,19/20,Serie A,31,A,Juventus FC,AC Milan,4:2,LW,53,0:2,Left-footed shot
631,632,19/20,Serie A,32,H,Juventus FC,Atalanta BC,2:2,LW,55,1:1,Penalty
632,633,19/20,Serie A,32,H,Juventus FC,Atalanta BC,2:2,LW,90,2:2,Penalty
633,634,19/20,Serie A,34,H,Juventus FC,SS Lazio,2:1,LW,51,1:0,Penalty
634,635,19/20,Serie A,34,H,Juventus FC,SS Lazio,2:1,LW,54,2:0,Counter attack goal
635,636,19/20,Serie A,36,H,Juventus FC,UC Sampdoria,2:0,LW,45+7,1:0,Right-footed shot
636,637,19/20,UEFA Champions League,last 16,H,Juventus FC,Olympique Lyon,2:1,LW,43,1:1,Penalty
637,638,19/20,UEFA Champions League,last 16,H,Juventus FC,Olympique Lyon,2:1,LW,60,2:1,Left-footed shot
638,639,20/21,Serie A,1,H,Juventus FC,UC Sampdoria,3:0,CF,88,3:0,Right-footed shot
639,640,20/21,Serie A,2,A,Juventus FC,AS Roma,2:2,CF,44,1:1,Penalty
640,641,20/21,Serie A,2,A,Juventus FC,AS Roma,2:2,CF,69,2:2,Header
641,642,20/21,Serie A,6,A,Juventus FC,Spezia Calcio,1:4,CF,59,1:2,Right-footed shot
642,643,20/21,Serie A,6,A,Juventus FC,Spezia Calcio,1:4,CF,76,1:4,Penalty
643,644,20/21,Serie A,7,A,Juventus FC,SS Lazio,1:1,LW,15,0:1,Right-footed shot
644,645,20/21,Serie A,8,H,Juventus FC,Cagliari Calcio,2:0,CF,38,1:0,Right-footed shot
645,646,20/21,Serie A,8,H,Juventus FC,Cagliari Calcio,2:0,CF,42,2:0,Right-footed shot
646,647,20/21,UEFA Champions League,Group Stage,H,Juventus FC,Ferencvarosi TC,2:1,CF,35,1:1,Left-footed shot
647,648,20/21,UEFA Champions League,Group Stage,H,Juventus FC,Dynamo Kyiv,3:0,CF,57,2:0,Right-footed shot
648,649,20/21,UEFA Champions League,Group Stage,A,Juventus FC,FC Barcelona,0:3,CF,13,0:1,Penalty
649,650,20/21,UEFA Champions League,Group Stage,A,Juventus FC,FC Barcelona,0:3,CF,52,0:3,Penalty
650,651,20/21,Serie A,11,A,Juventus FC,Genoa CFC,1:3,CF,78,1:2,Penalty
651,652,20/21,Serie A,11,A,Juventus FC,Genoa CFC,1:3,CF,89,1:3,Penalty
652,653,20/21,Serie A,13,A,Juventus FC,Parma Calcio 1913,0:4,CF,26,0:2,Header
653,654,20/21,Serie A,13,A,Juventus FC,Parma Calcio 1913,0:4,CF,48,0:3,Left-footed shot
654,655,20/21,Serie A,15,H,Juventus FC,Udinese Calcio,4:1,CF,31,1:0,Right-footed shot
655,656,20/21,Serie A,15,H,Juventus FC,Udinese Calcio,4:1,CF,70,3:0,Left-footed shot
656,657,20/21,Serie A,17,H,Juventus FC,US Sassuolo,3:1,CF,90+2,3:1,Right-footed shot
657,658,20/21,Supercoppa Italiana,Final,H,Juventus FC,SSC Napoli,2:0,CF,64,1:0,Tap-in
658,659,20/21,Italy Cup,Semi-Finals,A,Juventus FC,Inter Milan,1:2,CF,26,1:1,Penalty
659,660,20/21,Italy Cup,Semi-Finals,A,Juventus FC,Inter Milan,1:2,CF,35,1:2,Left-footed shot
660,661,20/21,Serie A,21,H,Juventus FC,AS Roma,2:0,CF,13,1:0,Left-footed shot
661,662,20/21,Serie A,23,H,Juventus FC,FC Crotone,3:0,CF,38,1:0,Header
662,663,20/21,Serie A,23,H,Juventus FC,FC Crotone,3:0,CF,45+1,2:0,Header
663,664,20/21,Serie A,24,A,Juventus FC,Hellas Verona,1:1,CF,49,0:1,Right-footed shot
664,665,20/21,Serie A,25,H,Juventus FC,Spezia Calcio,3:0,CF,89,3:0,Counter attack goal
665,666,20/21,Serie A,27,A,Juventus FC,Cagliari Calcio,1:3,CF,10,0:1,Header
666,667,20/21,Serie A,27,A,Juventus FC,Cagliari Calcio,1:3,CF,25,0:2,Penalty
667,668,20/21,Serie A,27,A,Juventus FC,Cagliari Calcio,1:3,CF,32,0:3,Left-footed shot
668,669,20/21,Serie A,29,A,Juventus FC,Torino FC,2:2,CF,79,2:2,Header
669,670,20/21,Serie A,3,H,Juventus FC,SSC Napoli,2:1,CF,13,1:0,Right-footed shot
670,671,20/21,Serie A,34,A,Juventus FC,Udinese Calcio,1:2,CF,83,1:1,Penalty
671,672,20/21,Serie A,34,A,Juventus FC,Udinese Calcio,1:2,CF,89,1:2,Header
672,673,20/21,Serie A,36,A,Juventus FC,US Sassuolo,1:3,CF,45,0:2,Left-footed shot
673,674,20/21,Serie A,37,H,Juventus FC,Inter Milan,3:2,CF,24,1:0,Penalty rebound
674,675,21/22,Premier League,4,H,Manchester United,Newcastle United,4:1,CF,45+2,1:0,Tap-in
675,676,21/22,Premier League,4,H,Manchester United,Newcastle United,4:1,CF,62,2:1,Left-footed shot
676,677,21/22,UEFA Champions League,Group Stage,A,Manchester United,BSC Young Boys,2:1,CF,13,0:1,Right-footed shot
677,678,21/22,Premier League,5,A,Manchester United,West Ham United,1:2,CF,35,1:1,Right-footed shot
678,679,21/22,UEFA Champions League,Group Stage,H,Manchester United,Villarreal CF,2:1,CF,90+5,2:1,Right-footed shot
679,680,21/22,UEFA Champions League,Group Stage,H,Manchester United,Atalanta BC,3:2,CF,81,3:2,Header
680,681,21/22,Premier League,10,A,Manchester United,Tottenham Hotspur,0:3,CF,39,0:1,Right-footed shot
681,682,21/22,UEFA Champions League,Group Stage,A,Manchester United,Atalanta BC,2:2,CF,45+1,1:1,Right-footed shot
682,683,21/22,UEFA Champions League,Group Stage,A,Manchester United,Atalanta BC,2:2,CF,90+1,2:2,Right-footed shot
683,684,21/22,UEFA Champions League,Group Stage,A,Manchester United,Villarreal CF,0:2,CF,78,0:1,Right-footed shot
684,685,21/22,Premier League,14,H,Manchester United,Arsenal FC,3:2,CF,52,2:1,Right-footed shot
685,686,21/22,Premier League,14,H,Manchester United,Arsenal FC,3:2,CF,70,3:2,Penalty
686,687,21/22,Premier League,16,A,Manchester United,Norwich City,0:1,CF,75,0:1,Penalty
687,688,21/22,Premier League,20,H,Manchester United,Burnley FC,3:1,CF,35,3:0,Right-footed shot
688,689,21/22,Premier League,18,H,Manchester United,Brighton & Hove Albion,2:0,CF,51,1:0,Right-footed shot
689,690,21/22,Premier League,29,H,Manchester United,Tottenham Hotspur,3:2,CF,12,1:0,Right-footed shot
690,691,21/22,Premier League,29,H,Manchester United,Tottenham Hotspur,3:2,CF,38,2:1,Right-footed shot
691,692,21/22,Premier League,29,H,Manchester United,Tottenham Hotspur,3:2,CF,81,3:2,Header
692,693,21/22,Premier League,33,H,Manchester United,Norwich City,3:2,CF,7,1:0,Right-footed shot
693,694,21/22,Premier League,33,H,Manchester United,Norwich City,3:2,CF,32,2:0,Header
694,695,21/22,Premier League,33,H,Manchester United,Norwich City,3:2,CF,76,3:2,Direct free kick
695,696,21/22,Premier League,34,A,Manchester United,Arsenal FC,3:1,CF,34,2:1,Left-footed shot
696,697,21/22,Premier League,37,H,Manchester United,Chelsea FC,1:1,CF,62,1:1,Right-footed shot
697,698,21/22,Premier League,35,H,Manchester United,Brentford FC,3:0,CF,61,2:0,Penalty
